city,country,is_capital,population,lat,lon
Сан-Франциско,Соединённые Штаты Америки,0,805235,37.766667,-122.433333
Лос-Анджелес,Соединённые Штаты Америки,0,3976322,34.05,-118.25
Алегзандрия,Соединённые Штаты Америки,0,148892,38.804722222,-77.047222222
Сан-Антонио,Соединённые Штаты Америки,0,1436697,29.428611111,-98.493333333
Чикаго,Соединённые Штаты Америки,0,2722389,41.9,-87.65
Гент,Бельгия,0,230951,51.05,3.716666666
Гент,Бельгия,0,257029,51.05,3.716666666
Познань,Польша,0,544612,52.4,16.916666666
Гдыня,Польша,0,247672,54.5,18.533333333
Щецин,Польша,0,407047,53.424722222,14.555277777
Лодзь,Польша,0,715360,51.759494444,19.458511111
Катовице,Польша,0,297197,50.25,19.0
Катовице,Польша,0,297197,50.25841,19.02754
Жешув,Польша,0,182548,50.05,22.0
Белосток,Польша,0,295624,53.116666666,23.166666666
Модена,Италия,0,184727,44.64582,10.92572
Милан,Италия,0,1351562,45.464161,9.190336
Турин,Италия,0,889600,45.066666666,7.7
Триест,Италия,0,204234,45.636111111,13.804166666
Падуя,Италия,0,211560,45.406388888,11.877777777
Бергамо,Италия,0,119806,45.695,9.67
Венеция,Италия,0,261905,45.439722222,12.331944444
Салерно,Италия,0,135066,40.680555555,14.759722222
Генуя,Италия,0,583601,44.407186111,8.933983333
Женева,Швейцария,0,198899,46.2,6.15
Цюрих,Швейцария,0,415682,47.378611111,8.54
Базель,Швейцария,0,175940,47.550555555,7.591111111
Лозанна,Швейцария,0,144426,46.533333333,6.633333333
Стамбул,Турция,0,14657434,41.01,28.960277777
Гронинген,Нидерланды,0,200952,53.216666666,6.55
Кембридж,Великобритания,0,123867,52.208055555,0.1225
Сан-Паулу,Бразилия,0,12106920,-23.550394444,-46.633947222
Абакан,Россия,0,181709,53.716666666,91.416666666
Новосибирск,Россия,0,1602915,55.033333333,82.916666666
Екатеринбург,Россия,0,1455904,56.833333333,60.583333333
Нижний Новгород,Россия,0,1264075,56.326944444,44.0075
Самара,Россия,0,1169719,53.183333333,50.116666666
Омск,Россия,0,1178391,54.966666666,73.383333333
Казань,Россия,0,1231878,55.790833333,49.114444444
Челябинск,Россия,0,1198858,55.15,61.4
Ростов-на-Дону,Россия,0,1125299,47.233333333,39.716666666
Уфа,Россия,0,1130000,54.733333333,55.966666666
Пермь,Россия,0,1048005,58.013888888,56.248888888
Красноярск,Россия,0,1066934,56.016666666,92.866666666
Владивосток,Россия,0,606589,43.116666666,131.9
Томск,Россия,0,572740,56.488611111,84.952222222
Тольятти,Россия,0,710567,53.516666666,49.416666666
Кёльн,Германия,0,1075935,50.942222222,6.957777777
Хайльбронн,Германия,0,123771,49.15,9.216666666
Ахен,Германия,0,244951,50.774167,6.0825
Штутгарт,Германия,0,628032,48.776111111,9.1775
Карлсруэ,Германия,0,309999,49.016666666,8.4
Гамбург,Германия,0,1810438,53.55,10.0
Дортмунд,Германия,0,585813,51.513888888,7.465277777
Марибор,Словения,0,112325,46.55,15.633333333
Марибор,Словения,0,112325,46.55472,15.64667
Пловдив,Болгария,0,333206,42.143333333,24.748888888
Мумбаи,Индия,0,12442373,18.966666666,72.833333333
Нагпур,Индия,0,2405665,21.153888888,79.083055555
Дубай,Объединённые Арабские Эмираты,0,2502715,25.269722222,55.309444444
Кагосима,Япония,0,596319,31.596666666,130.557222222
Херес-де-ла-Фронтера,Испания,0,212915,36.7,-6.116666666
Террасса,Испания,0,216428,41.561111111,2.008055555
Витория-Гастейз,Испания,0,246976,42.846666666,-2.673055555
